
Start of run:
Tue Jun 11 09:51:36 PDT 2024

Invoked script options:
/usr/bin/REVAMP/revamp.sh -p config_files/MiFish_config_file.txt -f config_files/figure_config_file.txt -s metadata/MiFish_metadata.txt -r renamed/MiFish -o MiFish_RUN1

Running Cutadapt: Tue Jun 11 09:51:40 PDT 2024
Finished Cutadapt: Tue Jun 11 09:57:45 PDT 2024
Sample	Passing Reads	Passing bp
MP_E1116_SKQ2021_R1_trimmed.fq.gz 93.4413
MP_E1117_SKQ2021_R1_trimmed.fq.gz 90.2089
MP_E1118_SKQ2021_R1_trimmed.fq.gz 93.564
MP_E1119_SKQ2021_R1_trimmed.fq.gz 91.2391
MP_E1120_SKQ2021_R1_trimmed.fq.gz 92.7714
MP_E1121_SKQ2021_R1_trimmed.fq.gz 91.3862
MP_E1122_SKQ2021_R1_trimmed.fq.gz 93.5735
MP_E1123_SKQ2021_R1_trimmed.fq.gz 93.2045
MP_E1124_SKQ2021_R1_trimmed.fq.gz 92.4943
MP_E1125_SKQ2021_R1_trimmed.fq.gz 86.5542
MP_E1126_SKQ2021_R1_trimmed.fq.gz 90.5305
MP_E1127_SKQ2021_R1_trimmed.fq.gz 84.9284
MP_E1128_SKQ2021_R1_trimmed.fq.gz 86.3699
MP_E1129_SKQ2021_R1_trimmed.fq.gz 89.2885
MP_E1130_SKQ2021_R1_trimmed.fq.gz 92.5739
MP_E1131_SKQ2021_R1_trimmed.fq.gz 92.6599
MP_E1132_SKQ2021_R1_trimmed.fq.gz 88.3359
MP_E1133_SKQ2021_R1_trimmed.fq.gz 93.0775
MP_E1134_SKQ2021_R1_trimmed.fq.gz 90.5277
MP_E1135_SKQ2021_R1_trimmed.fq.gz 91.2899
MP_E1136_SKQ2021_R1_trimmed.fq.gz 94.4526
MP_E1137_SKQ2021_R1_trimmed.fq.gz 94.4615
MP_E1138_SKQ2021_R1_trimmed.fq.gz 94.2082
MP_E1139_SKQ2021_R1_trimmed.fq.gz 95.2082
MP_E1140_SKQ2021_R1_trimmed.fq.gz 92.4361
MP_E1141_SKQ2021_R1_trimmed.fq.gz 91.8117
MP_E1142_SKQ2021_R1_trimmed.fq.gz 91.5894
MP_E1143_SKQ2021_R1_trimmed.fq.gz 92.5272
MP_E1144_SKQ2021_R1_trimmed.fq.gz 91.309
MP_E1145_SKQ2021_R1_trimmed.fq.gz 90.7431
MP_E1146_SKQ2021_R1_trimmed.fq.gz 93.6103
MP_E1172_OC0622_R1_trimmed.fq.gz 91.2497
MP_E1173_OC0622_R1_trimmed.fq.gz 93.2797
